pathway,dominant,dose,frequency,suggested_intervention
Drain Water,Dominant,High,High,Drain Water Intervention 1
Drain Water,Dominant,Low,High,Drain Water Intervention 2
Drain Water,Dominant,High,Low,Drain Water Intervention 3
Drain Water,Dominant,Low,Low,Drain Water Intervention 4
Drain Water,Non-dominant,High,High,Drain Water Intervention 5
Drain Water,Non-dominant,Low,High,Drain Water Intervention 6
Drain Water,Non-dominant,High,Low,Drain Water Intervention 7
Drain Water,Non-dominant,Low,Low,Drain Water Intervention 8
Produce,Dominant,High,High,Produce Intervention 1
Produce,Dominant,Low,High,Produce Intervention 2
Produce,Dominant,High,Low,Produce Intervention 3
Produce,Dominant,Low,Low,Produce Intervention 4
Produce,Non-dominant,High,High,Produce Intervention 5
Produce,Non-dominant,Low,High,Produce Intervention 6
Produce,Non-dominant,High,Low,Produce Intervention 7
Produce,Non-dominant,Low,Low,Produce Intervention 8
Municipal and Piped Water,Dominant,High,High,Municipal and Piped Water Intervention 1
Municipal and Piped Water,Dominant,Low,High,Municipal and Piped Water Intervention 2
Municipal and Piped Water,Dominant,High,Low,Municipal and Piped Water Intervention 3
Municipal and Piped Water,Dominant,Low,Low,Municipal and Piped Water Intervention 4
Municipal and Piped Water,Non-dominant,High,High,Municipal and Piped Water Intervention 5
Municipal and Piped Water,Non-dominant,Low,High,Municipal and Piped Water Intervention 6
Municipal and Piped Water,Non-dominant,High,Low,Municipal and Piped Water Intervention 7
Municipal and Piped Water,Non-dominant,Low,Low,Municipal and Piped Water Intervention 8
Ocean Water,Dominant,High,High,Ocean Water Intervention 1
Ocean Water,Dominant,Low,High,Ocean Water Intervention 2
Ocean Water,Dominant,High,Low,Ocean Water Intervention 3
Ocean Water,Dominant,Low,Low,Ocean Water Intervention 4
Ocean Water,Non-dominant,High,High,Ocean Water Intervention 5
Ocean Water,Non-dominant,Low,High,Ocean Water Intervention 6
Ocean Water,Non-dominant,High,Low,Ocean Water Intervention 7
Ocean Water,Non-dominant,Low,Low,Ocean Water Intervention 8
Surface Water,Dominant,High,High,Surface Water Intervention 1
Surface Water,Dominant,Low,High,Surface Water Intervention 2
Surface Water,Dominant,High,Low,Surface Water Intervention 3
Surface Water,Dominant,Low,Low,Surface Water Intervention 4
Surface Water,Non-dominant,High,High,Surface Water Intervention 5
Surface Water,Non-dominant,Low,High,Surface Water Intervention 6
Surface Water,Non-dominant,High,Low,Surface Water Intervention 7
Surface Water,Non-dominant,Low,Low,Surface Water Intervention 8
Flood Water,Dominant,High,High,Flood Water Intervention 1
Flood Water,Dominant,Low,High,Flood Water Intervention 2
Flood Water,Dominant,High,Low,Flood Water Intervention 3
Flood Water,Dominant,Low,Low,Flood Water Intervention 4
Flood Water,Non-dominant,High,High,Flood Water Intervention 5
Flood Water,Non-dominant,Low,High,Flood Water Intervention 6
Flood Water,Non-dominant,High,Low,Flood Water Intervention 7
Flood Water,Non-dominant,Low,Low,Flood Water Intervention 8
Public Latrine Surfaces,Dominant,High,High,Public Latrine Surfaces Intervention 1
Public Latrine Surfaces,Dominant,Low,High,Public Latrine Surfaces Intervention 2
Public Latrine Surfaces,Dominant,High,Low,Public Latrine Surfaces Intervention 3
Public Latrine Surfaces,Dominant,Low,Low,Public Latrine Surfaces Intervention 4
Public Latrine Surfaces,Non-dominant,High,High,Public Latrine Surfaces Intervention 5
Public Latrine Surfaces,Non-dominant,Low,High,Public Latrine Surfaces Intervention 6
Public Latrine Surfaces,Non-dominant,High,Low,Public Latrine Surfaces Intervention 7
Public Latrine Surfaces,Non-dominant,Low,Low,Public Latrine Surfaces Intervention 8
Municipal and Piped Water,Dominant,High,High,Municipal and Piped Water Intervention 1
Municipal and Piped Water,Dominant,Low,High,Municipal and Piped Water Intervention 2
Municipal and Piped Water,Dominant,High,Low,Municipal and Piped Water Intervention 3
Municipal and Piped Water,Dominant,Low,Low,Municipal and Piped Water Intervention 4
Municipal and Piped Water,Non-dominant,High,High,Municipal and Piped Water Intervention 5
Municipal and Piped Water,Non-dominant,Low,High,Municipal and Piped Water Intervention 6
Municipal and Piped Water,Non-dominant,High,Low,Municipal and Piped Water Intervention 7
Municipal and Piped Water,Non-dominant,Low,Low,Municipal and Piped Water Intervention 8
